Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Tilt,"Hopkins, Ellen",,,,,Virginia,Hanover County Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Tricks,"Hopkins, Ellen",,,,Tricks,Virginia,Hanover County Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Water for Elephants,"Gruen, Sara",,,,,Virginia,Hanover County Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Burned (EH),"Hopkins, Ellen",,,,Burned,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Collateral,"Hopkins, Ellen",,,,,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Crank,"Hopkins, Ellen",,,,Crank,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Fallout,"Hopkins, Ellen",,,,Crank,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Glass,"Hopkins, Ellen",,,,Crank,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Identical,"Hopkins, Ellen",,,,,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Impulse,"Hopkins, Ellen",,,,Impulse,Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Is He a Girl?,"Sachar, Louis",,,,Marvin Redpost,Florida,Hernando County Schools,Jun-23,Banned from Libraries and Classrooms,Formal Challenge
